Date,Close,High,Low,Open,Volume
2020-05-26,278.078369140625,280.96999739968646,274.7125727527704,280.7282457117374,88951400
2020-05-27,282.2158508300781,282.2530499391975,276.02351858090134,280.9048588860329,104817400
2020-05-28,281.69512939453125,285.29336938825986,281.0163805467094,283.25715121939606,90405200
2020-05-29,282.9504089355469,283.5454528602994,278.44097420466636,281.22100489331035,119090800
2020-06-01,284.09405517578125,284.70771292178176,281.77891378716174,282.2995879277781,55758300
2020-06-02,286.44635009765625,286.49285608025383,283.6756263705714,285.02378912295734,74267200
2020-06-03,290.2584228515625,291.22540102788236,288.1757268175862,288.45464918834904,92567600
2020-06-04,289.4960632324219,291.0209148726546,287.37616760731163,289.26361841223604,75794400
2020-06-05,296.91571044921875,298.71017764112366,294.8887984384263,294.9538897976216,150524700
2020-06-08,300.504638671875,300.6998843524105,297.18532022972994,297.73388653430663,73641200
2020-06-09,298.26385498046875,300.5789959336958,296.93424926021106,297.8082439121536,77479200
2020-06-10,296.599609375,299.75157495651126,295.8743826249924,298.84968786198516,95000800
2020-06-11,279.5008850097656,290.23054389835437,278.9430402427075,289.5889940416309,209243600
2020-06-12,282.8481140136719,287.376134042086,277.6320664777444,286.59512294243626,194678900
2020-06-15,285.4886779785156,286.63231655316565,275.902657167633,277.0927733501549,135782700
2020-06-16,290.98370361328125,293.47553354638995,286.0651918531277,293.326765462726,137627500
2020-06-17,289.7750549316406,292.3133629411114,289.0312143773154,292.01582671938127,83398900
2020-06-18,289.8865966796875,290.3700717136035,287.7760078277726,288.240897490058,80828700
2020-06-19,288.22991943359375,293.59032911568903,286.25943707517774,293.39422421254534,135549600
2020-06-22,290.0789794921875,290.48053714636455,286.4649036056369,287.62289442213944,74649400
2020-06-23,291.4143981933594,293.7023932608422,291.0034927241014,292.7591745473895,68471200
2020-06-24,283.9806823730469,289.9761436378309,282.1222891622239,289.3504378510621,132813500
2020-06-25,287.0252380371094,287.2960685885523,281.35663461260157,283.401814243523,89468000
2020-06-26,280.2079772949219,286.12874441187364,279.6196625146801,285.9139438257823,127961000
2020-06-29,284.3263244628906,284.46639939712236,279.1620195580416,281.4780296354258,79773300
2020-06-30,287.9683837890625,289.68673112616494,283.72863091230226,283.8873729872626,113394800
2020-07-01,289.985595703125,291.265022837874,288.6314999319952,289.0984354046909,72396500
2020-07-02,291.5824890136719,294.82302181709093,290.91010090029897,293.4595499347535,69344200
2020-07-06,296.0837097167969,296.672052848873,294.6922514199316,295.4486844470371,61713800
2020-07-07,293.030029296875,296.5226975746889,292.64713878254287,294.52422853587154,82910000
2020-07-08,295.2712707519531,295.3833306910914,292.0214185190402,293.8050867161172,54638600
